plot,tr,id,year,area,log_size,surv,size_t0,growth
N-lower,1,2000,2023,56.30220833456485,4.030733758791394,1,4.05393723525438,-0.02320347646298604
N-lower,1,2000,2024,67.08849088684062,4.206012507460435,1,4.030733758791394,0.17527874866904103
N-lower,1,2000,2025,71.11946409141117,4.264361055904637,1,4.206012507460435,0.058348548444202564
N-lower,1,2001,2023,18.13716694115407,2.897963255045375,1,2.6738433812896605,0.2241198737557144
N-lower,1,2001,2024,22.77875959474386,3.1258285050327177,1,2.897963255045375,0.2278652499873428
N-lower,1,2001,2025,27.491148575128552,3.313864082865935,1,3.1258285050327177,0.18803557783321745
N-lower,1,2002,2023,18.63716694115407,2.9251578095705666,1,2.5196927014624024,0.40546510810816416
N-lower,1,2002,2024,26.920352248333657,3.292882589695884,1,2.9251578095705666,0.3677247801253176
N-lower,1,2002,2025,26.920352248333657,3.292882589695884,1,3.292882589695884,0
N-lower,1,2003,2024,22.27875959474386,3.103633740023793,1,3.0060767479079957,0.09755699211579749
N-lower,1,2003,2025,22.27875959474386,3.103633740023793,1,3.103633740023793,0
N-lower,1,2004,2023,47.6451294554942,3.8637804098810276,1,3.835356896473966,0.028423513407061396
N-lower,1,2004,2024,46.87366927183395,3.847456095020061,1,3.8637804098810276,-0.016324314860966638
N-lower,1,2004,2025,49.840704496667314,3.9088320095451743,1,3.847456095020061,0.06137591452511337
N-lower,1,2005,2023,10.353981633974483,2.3373711446684475,1,2.114227593354238,0.2231435513142097
N-lower,1,2005,2024,15.066370614359172,2.7124651484875866,1,2.3373711446684475,0.37509400381913904
N-lower,1,2005,2025,15.566370614359172,2.745112857476373,1,2.7124651484875866,0.03264770898878622
N-lower,1,2007,2023,11.92477796076938,2.4786184169590766,1,2.897963255045375,-0.4193448380862983
N-lower,1,2007,2024,11.92477796076938,2.4786184169590766,1,2.4786184169590766,0
N-lower,1,2007,2025,15.566370614359172,2.745112857476373,1,2.4786184169590766,0.2664944405172962
N-lower,1,2008,2023,40.48672286269283,3.700974089813517,1,3.5259374112396356,0.1750366785738815
N-lower,1,2008,2024,46.26415625092364,3.834367498226222,1,3.700974089813517,0.13339340841270486
N-lower,1,2008,2025,52.70818229274425,3.964770705217365,1,3.834367498226222,0.13040320699114316
N-lower,1,2009,2023,20.77875959474386,3.0339312916249352,1,2.95532494658627,0.07860634503866537
N-lower,1,2009,2024,21.27875959474386,3.0577093730538487,1,3.0339312916249352,0.023778081428913467
N-lower,1,2009,2025,24.420352248333657,3.1954168931622133,1,3.0577093730538487,0.13770752010836462
N-lower,1,2010,2023,37.98672286269283,3.637236700322372,1,3.6220964569808283,0.015140243341543513
N-lower,1,2010,2024,41.12831551628262,3.7166968262926017,1,3.637236700322372,0.07946012597022989
N-lower,1,2010,2025,28.632741228718345,3.3545508612509556,1,3.7166968262926017,-0.3621459650416461
N-lower,1,2011,2023,13.995574287564276,2.6387411573212285,1,2.6738433812896605,-0.03510222396843199
N-lower,1,2011,2024,18.63716694115407,2.9251578095705666,1,2.6387411573212285,0.2864166522493381
N-lower,1,2011,2025,15.566370614359172,2.745112857476373,1,2.9251578095705666,-0.1800449520941938
N-lower,1,2012,2023,205.77431881013143,5.326780028490607,1,3.811077437155696,1.5157025913349105
N-lower,1,2012,2024,201.06192982974676,5.303612969209072,1,5.326780028490607,-0.023167059281534286
N-lower,1,2013,2023,18.707963267948966,2.928949276420883,1,2.875662265207914,0.05328701121296886
N-lower,1,2014,2023,27.64070600388498,3.319289541405564,1,3.2741346316447273,0.04515490976083658
N-lower,1,2014,2024,35.08805057642355,3.557860633091033,1,3.319289541405564,0.2385710916854693
N-lower,1,2014,2025,42.12831551628262,3.7407200921933073,1,3.557860633091033,0.18285945910227408
N-lower,1,2015,2023,28.276104167282426,3.342017072248818,1,3.3112532394393535,0.030763832809464375
N-lower,1,2015,2024,20.564600329384884,3.0235711669875727,1,3.342017072248818,-0.31844590526124517
N-lower,1,2015,2025,15.99468914507713,2.7722567387066666,1,3.0235711669875727,-0.2513144282809061
N-lower,1,2017,2024,10.353981633974483,2.3373711446684475,1,2.602361801145407,-0.2649906564769595
N-lower,1,2018,2023,50.340704496667314,3.9188139843781618,1,3.9064810626289717,0.012332921749190096
N-lower,1,2018,2024,48.773669271833946,3.887190603140246,1,3.9188139843781618,-0.03162338123791564
N-lower,1,2018,2025,39.88738671955819,3.686060151601788,1,3.887190603140246,-0.2011304515384582
N-lower,1,2019,2023,47.269908169872416,3.8558739021307895,1,3.8255150528565323,0.03035884927425725
N-lower,1,2019,2024,48.340704496667314,3.87827394895208,1,3.8558739021307895,0.022400046821290598
